hour_idx,datetime_local_cet,price_eur_per_mwh,price_eur_per_kwh
1,2025-01-01 00:00,180.0000,0.180000
2,2025-01-01 01:00,138.5600,0.138560
3,2025-01-01 02:00,127.1200,0.127120
4,2025-01-01 03:00,64.8000,0.064800
5,2025-01-01 04:00,71.0900,0.071090
6,2025-01-01 05:00,3.0000,0.003000
7,2025-01-01 06:00,-3.6700,-0.003670
8,2025-01-01 07:00,-5.7100,-0.005710
9,2025-01-01 08:00,18.9400,0.018940
10,2025-01-01 09:00,26.2700,0.026270
11,2025-01-01 10:00,13.0000,0.013000
12,2025-01-01 11:00,17.0000,0.017000
13,2025-01-01 12:00,13.6200,0.013620
14,2025-01-01 13:00,23.0000,0.023000
15,2025-01-01 14:00,66.8000,0.066800
16,2025-01-01 15:00,106.1200,0.106120
17,2025-01-01 16:00,92.4000,0.092400
18,2025-01-01 17:00,81.3000,0.081300
19,2025-01-01 18:00,154.2600,0.154260
20,2025-01-01 19:00,162.0500,0.162050
21,2025-01-01 20:00,164.5500,0.164550
22,2025-01-01 21:00,161.3100,0.161310
23,2025-01-01 22:00,76.9000,0.076900
24,2025-01-01 23:00,26.6900,0.026690
25,2025-01-02 00:00,59.7700,0.059770
26,2025-01-02 01:00,50.0000,0.050000
27,2025-01-02 02:00,68.8800,0.068880
28,2025-01-02 03:00,48.5800,0.048580
29,2025-01-02 04:00,55.1400,0.055140
30,2025-01-02 05:00,76.2100,0.076210
31,2025-01-02 06:00,136.2000,0.136200
32,2025-01-02 07:00,157.8600,0.157860
33,2025-01-02 08:00,130.0000,0.130000
34,2025-01-02 09:00,133.4400,0.133440
35,2025-01-02 10:00,129.0600,0.129060
36,2025-01-02 11:00,124.2800,0.124280
37,2025-01-02 12:00,124.0000,0.124000
38,2025-01-02 13:00,116.9200,0.116920
39,2025-01-02 14:00,125.5000,0.125500
40,2025-01-02 15:00,130.1100,0.130110
41,2025-01-02 16:00,146.6000,0.146600
42,2025-01-02 17:00,147.2700,0.147270
43,2025-01-02 18:00,150.8100,0.150810
44,2025-01-02 19:00,134.2200,0.134220
45,2025-01-02 20:00,131.5800,0.131580
46,2025-01-02 21:00,126.4300,0.126430
47,2025-01-02 22:00,118.3400,0.118340
48,2025-01-02 23:00,87.3900,0.087390
49,2025-01-03 00:00,104.2700,0.104270
50,2025-01-03 01:00,95.8400,0.095840
51,2025-01-03 02:00,90.4000,0.090400
52,2025-01-03 03:00,88.1700,0.088170
53,2025-01-03 04:00,87.2200,0.087220
54,2025-01-03 05:00,93.6700,0.093670
55,2025-01-03 06:00,115.1000,0.115100
56,2025-01-03 07:00,159.4900,0.159490
57,2025-01-03 08:00,155.0900,0.155090
58,2025-01-03 09:00,146.0600,0.146060
59,2025-01-03 10:00,126.6800,0.126680
60,2025-01-03 11:00,111.5900,0.111590
61,2025-01-03 12:00,111.1200,0.111120
62,2025-01-03 13:00,109.9000,0.109900
63,2025-01-03 14:00,121.6100,0.121610
64,2025-01-03 15:00,142.0000,0.142000
65,2025-01-03 16:00,165.3500,0.165350
